:Player:Pos:FG%:3P%:2P%:FT%:ORB:DRB:TRB:AST:STL:BLK:TOV:PTS:ORtg:DRtg:3PAr:BPM:DBPM:DRB%:DWS:FTr:OBPM:ORB%:OWS:PER:STL%:TOV%:TRB%:TS%:USG%:VORP:WS:WS/48:HEIGHT:WEIGHT:Cluster:Salaries
36:Jonah Bolden:4:0.494:0.354:0.697:0.481:3.5:8.7:12.2:3.0:1.3:2.9:2.7:15.3:111.0:107.0:0.593:1.2:2.0:19.0:0.9:0.167:-0.8:8.0:0.5:12.7:1.3:17.2:13.7:0.595:13.8:0.5:1.4:0.106:208.3:220.0:6:1698450
37:Isaac Bonga:1:0.152:0.0:0.2:0.6:3.5:6.2:9.7:5.8:3.5:1.6:2.3:7.4:73.0:105.0:0.242:-4.3:3.0:13.5:0.2:0.455:-7.3:7.9:-0.3:6.0:3.5:13.2:10.8:0.24:15.7:-0.1:-0.1:-0.059:203.2:180.0:5:1416852
38:Devin Booker:2:0.467:0.326:0.536:0.866:0.8:4.8:5.6:9.2:1.2:0.3:5.6:36.2:109.0:118.0:0.33:0.8:-3.0:11.3:0.3:0.362:3.8:1.9:3.3:20.2:1.2:15.4:6.5:0.584:32.9:1.6:3.5:0.076:198.1:210.0:3:27250000
39:Chris Boucher:4:0.447:0.324:0.564:0.867:4.7:11.8:16.5:0.6:1.8:7.1:2.1:27.3:112.0:97.0:0.487:1.1:2.8:25.8:0.4:0.197:-1.7:10.9:0.2:22.2:1.8:7.8:18.5:0.563:23.6:0.1:0.7:0.194:208.3:200.0:3:1588231
40:Avery Bradley:2:0.408:0.351:0.446:0.86:1.1:3.3:4.4:3.8:1.0:0.4:2.2:15.7:98.0:115.0:0.403:-2.8:-1.0:7.3:1.0:0.082:-1.7:2.5:-0.6:7.6:1.0:12.4:4.9:0.496:16.2:-0.4:0.3:0.009:188.0:180.0:0:4767000
41:Tony Bradley:5:0.5:0.0:0.5:0.5:12.0:8.0:19.9:1.3:2.7:2.7:4.0:22.6:105.0:101.0:0.0:-0.7:1.3:17.7:0.1:0.125:-2.0:27.6:0.0:19.6:2.7:15.1:22.6:0.504:23.6:0.0:0.1:0.13:208.3:248.0:1:1962360
42:Mikal Bridges:3:0.43:0.335:0.548:0.805:1.1:4.1:5.2:3.4:2.5:0.8:1.4:13.5:112.0:115.0:0.556:-0.2:0.3:9.7:1.2:0.21:-0.5:2.5:1.7:10.8:2.5:10.2:6.0:0.556:12.2:1.1:2.9:0.058:200.7:210.0:6:4161000
43:Miles Bridges:3:0.464:0.325:0.553:0.753:1.9:7.3:9.3:2.7:1.6:1.4:1.4:17.1:111.0:112.0:0.391:-0.6:0.5:16.6:1.5:0.151:-1.2:4.2:1.4:13.1:1.6:8.4:10.3:0.548:15.1:0.6:2.9:0.083:200.7:225.0:6:3755400
44:Ryan Broekhoff:2:0.452:0.409:0.576:0.789:0.9:5.9:6.7:2.4:0.6:0.4:1.7:17.9:116.0:114.0:0.738:-2.3:-1.7:12.9:0.3:0.151:-0.7:1.9:0.5:10.7:0.6:10.6:7.4:0.621:14.3:0.0:0.8:0.086:200.7:215.0:6:1443842
45:Malcolm Brogdon:2:0.505:0.426:0.544:0.928:1.6:5.7:7.3:5.2:1.2:0.3:2.3:25.4:121.0:108.0:0.326:1.5:-0.3:11.7:2.3:0.203:1.9:3.8:4.2:17.8:1.2:10.0:8.0:0.614:20.7:1.6:6.5:0.171:195.6:229.0:6:20000000
46:Dillon Brooks:3:0.402:0.375:0.415:0.733:1.4:3.3:4.7:2.4:1.5:0.6:2.9:20.3:94.0:112.0:0.328:-6.1:-1.9:7.6:0.3:0.246:-4.2:3.0:-0.3:7.6:1.5:12.3:5.3:0.499:20.9:-0.3:0.0:-0.004:198.1:220.0:5:1618520
47:Bruce Brown:2:0.398:0.258:0.457:0.75:1.6:4.7:6.3:3.1:1.4:1.2:1.6:10.9:100.0:110.0:0.296:-2.0:1.7:10.7:1.6:0.191:-3.7:3.5:-0.1:6.9:1.4:11.9:7.0:0.469:11.5:0.0:1.5:0.048:195.6:202.0:5:1416852
48:Jaylen Brown:2:0.465:0.344:0.529:0.658:1.6:6.2:7.9:2.5:1.7:0.8:2.5:24.3:104.0:109.0:0.348:-2.1:-0.6:13.9:2.4:0.255:-1.5:3.6:0.7:13.5:1.7:10.1:8.7:0.547:22.1:0.0:3.0:0.076:200.7:220.0:6:6534829
49:Sterling Brown:2:0.465:0.361:0.558:0.69:1.3:7.0:8.3:3.8:1.1:0.4:2.1:16.7:109.0:108.0:0.471:-1.6:0.0:14.4:1.4:0.135:-1.6:3.0:0.7:10.9:1.1:12.2:9.0:0.563:15.2:0.1:2.1:0.098:198.1:232.0:6:1618520
50:Jalen Brunson:1:0.467:0.348:0.523:0.725:0.8:4.4:5.2:7.0:1.1:0.1:2.7:20.7:110.0:114.0:0.32:-2.5:-1.6:9.6:1.0:0.212:-0.8:1.7:1.5:12.8:1.1:12.5:5.7:0.549:19.1:-0.2:2.6:0.077:190.5:190.0:0:1416582
51:Thomas Bryant:5:0.616:0.333:0.685:0.781:3.6:10.8:14.4:2.9:0.8:2.1:1.9:24.0:130.0:112.0:0.197:1.6:0.4:25.1:1.3:0.273:1.2:8.1:4.3:21.0:0.8:9.6:16.5:0.674:17.6:1.3:5.6:0.178:210.8:248.0:4:7936508
